1|2026-04-18T10:30:00|CARD|PERCENT|10|309.49|278.54|COMPLETED|2~TOP-2001~Linen Structured Blouse~69.5~2;4~ACC-4001~Leather Belt~39.99~1;12~ACC-4002~Silk Scarf~55.0~2
2|2026-04-17T14:15:00|CASH|NONE|0|249.0|249.0|COMPLETED|8~DRS-1002~Pleated Evening Gown~249.0~1
3|2026-04-16T11:45:00|CARD|DOLLAR|25|418.49|393.49|COMPLETED|1~DRS-1001~Midnight Silk Dress~149.99~1;6~FTW-6001~City Leather Loafers~129.95~1;2~TOP-2001~Linen Structured Blouse~69.5~1;13~ACC-4003~Pearl Stud Earrings~75.0~1
4|2026-04-15T09:20:00|CARD|PERCENT|15|179.99|152.99|COMPLETED|10~PNT-3002~Classic Denim Jeans~79.99~2;4~ACC-4001~Leather Belt~39.99~1
5|2026-04-14T16:00:00|CASH|DOLLAR|50|534.48|484.48|COMPLETED|7~OUT-7001~Wool Blend Blazer~199.0~1;3~PNT-3001~Tailored Wide-Leg Trousers~89.0~1;15~FTW-6002~Suede Ankle Boots~159.0~1;12~ACC-4002~Silk Scarf~55.0~1;4~ACC-4001~Leather Belt~39.99~1
6|2026-04-13T11:00:00|CARD|NONE|0|424.49|424.49|COMPLETED|1~DRS-1001~Midnight Silk Dress~149.99~1;11~SKT-3003~Midi A-Line Skirt~94.5~1;5~BAG-5001~Mini Crossbody Bag~110.0~1;9~TOP-2002~Cotton Fitted Tee~35.0~2
7|2026-04-12T15:30:00|CARD|PERCENT|20|349.99|279.99|COMPLETED|17~OUT-7002~Cashmere Cardigan~349.99~1
8|2026-04-11T10:15:00|CASH|NONE|0|283.49|283.49|COMPLETED|18~JAC-7003~Denim Jacket~119.99~1;16~FTW-6003~White Canvas Sneakers~89.0~1;13~ACC-4003~Pearl Stud Earrings~75.0~1
9|2026-04-10T14:45:00|CARD|DOLLAR|15|308.99|293.99|COMPLETED|14~BAG-5002~Structured Leather Tote~189.99~1;20~DRS-1003~Casual Summer Sundress~119.5~1
10|2026-04-09T12:00:00|CARD|PERCENT|5|244.99|232.74|COMPLETED|19~ACC-4004~Designer Sunglasses~199.0~1;12~ACC-4002~Silk Scarf~55.0~1
