1,1,Spring Collection Teaser,Instagram|TikTok,2000.00|1500.00,3500.0,2026-03-10,2026-04-10,COMPLETED,40000,600,41000,650,Strong engagement on floral imagery
2,2,Lookbook Posts,Instagram|Print,1200.00|800.00,2000.00,2026-04-15,2026-05-20,ACTIVE,25000,350,11000,120,Urban Edge lookbook performing well
3,1,Retargeting Ads,Instagram|TikTok,1000.00|1000.00,2000.0,2026-04-01,2026-05-01,ACTIVE,18000,250,9000,90,Retargeting spring collection viewers
4,3,Weekend Flash Sale,TikTok|Instagram,900.00|900.00,1800.00,2026-05-24,2026-05-27,PLANNED,15000,220,0,0,Memorial Day weekend - coastal collection push
5,1,Email Signup Push,Email|Instagram,300.00|700.00,1000.0,2026-05-05,2026-06-05,PLANNED,12000,180,3,0,Growing mailing list for fall preview
6,1,Influencer Try-On,Instagram|TikTok,1600.00|1400.00,3000.00,2026-02-01,2026-02-28,COMPLETED,30000,450,28000,420,3 micro-influencers featured Eternal Bloom
7,2,Local Magazine Feature,Print|Instagram,600.00|400.00,1000.00,2026-01-10,2026-02-10,COMPLETED,8000,60,9000,55,Urban Edge editorial in City Style mag
8,3,New Arrivals Promo,Instagram|TikTok|Email,1200.00|800.00|400.00,2400.00,2026-06-01,2026-06-30,PLANNED,20000,300,0,0,Coastal Breeze summer launch campaign
9,4,Holiday Preview Teaser,Instagram|TikTok,1800.00|1200.00,3000.00,2026-10-15,2026-11-15,PLANNED,35000,500,0,0,Midnight Luxe early access preview
10,6,Minimalist Living Collab,Instagram|Email,1000.00|500.00,1500.00,2026-12-01,2026-01-15,PLANNED,15000,200,0,0,Partner with lifestyle brand for Neo Minimalist
11,5,collect5,tv,1500.00,1500.0,2027-12-01,2028-01-01,PLANNED,15000,150,0,0,1 month campaign
